vehicle,file,start_time,end_time,duration_hours,driving_minutes,odometer_start,soc_start,soc_end,soc_used,distance_km,avg_speed,max_speed,pct_ac_on,avg_accel_xy,max_accel_xy,avg_altitude,altitude_range,implied_range_km
DL52GD9514,tataraw-DL52GD9514-gps-2026-07-08-to-2026-08-07.csv,2026-07-14 13:40:00,2026-07-14 20:45:00,7.083333333333333,215,3720.0,83.0,48.0,35.0,70.0,18.25581395348837,68.0,100.0,0.3489762405471048,1.828332573685652,214.3953488372093,57.0,200.0
DL52GD9514,tataraw-DL52GD9514-gps-2026-07-08-to-2026-08-07.csv,2026-07-16 14:15:00,2026-07-16 19:05:00,4.833333333333333,230,4107.0,55.0,15.0,40.0,109.0,27.782608695652176,65.0,100.0,0.3851158081889921,2.2167769396130046,211.41304347826087,54.0,272.5
DL52GD9514,tataraw-DL52GD9514-gps-2026-07-08-to-2026-08-07.csv,2026-07-17 02:30:01,2026-07-17 09:55:00,7.416388888888889,325,4216.0,85.0,25.0,60.0,138.0,24.56923076923077,71.0,100.0,0.45247387393482663,2.44,213.2,43.0,229.99999999999997
DL52GD9514,tataraw-DL52GD9514-gps-2026-07-08-to-2026-08-07.csv,2026-07-19 11:50:01,2026-07-19 18:45:01,6.916666666666667,265,4865.0,83.0,40.0,43.0,110.0,25.169811320754718,71.0,100.0,0.39770916450180427,2.4209502266672067,205.83018867924528,50.0,255.8139534883721
DL52GD9514,tataraw-DL52GD9514-gps-2026-07-08-to-2026-08-07.csv,2026-07-20 23:55:01,2026-07-21 07:35:00,7.666388888888889,335,5281.0,77.0,36.0,41.0,111.0,15.925373134328359,72.0,100.0,0.2924062547330626,1.2666885963013956,209.16417910447763,45.0,270.7317073170732
DL52GD9514,tataraw-DL52GD9514-gps-2026-07-08-to-2026-08-07.csv,2026-07-22 11:10:01,2026-07-22 18:30:04,7.3341666666666665,350,5759.0,89.0,38.0,51.0,116.0,18.214285714285715,60.0,100.0,0.3670920706957032,2.277410810547803,223.04285714285714,93.0,227.45098039215685
DL52GD9514,tataraw-DL52GD9514-gps-2026-07-08-to-2026-08-07.csv,2026-07-23 04:20:01,2026-07-23 12:15:01,7.916666666666667,375,5876.0,98.0,36.0,62.0,150.0,26.24,73.0,100.0,0.45318292601753335,2.320775732379154,211.92,107.0,241.93548387096774
DL52GD9514,tataraw-DL52GD9514-gps-2026-07-08-to-2026-08-07.csv,2026-07-23 13:30:01,2026-07-23 19:15:00,5.749722222222222,215,6026.0,92.0,62.0,30.0,71.0,21.11627906976744,74.0,100.0,0.38049686490532036,1.9547889911701466,206.90697674418604,34.0,236.66666666666666
DL52GD9514,tataraw-DL52GD9514-gps-2026-07-08-to-2026-08-07.csv,2026-07-25 02:10:01,2026-07-25 08:05:01,5.916666666666667,235,6380.0,63.0,28.0,35.0,82.0,17.680851063829788,62.0,100.0,0.3284964435963573,1.5831929762350516,206.48936170212767,43.0,234.2857142857143
DL52GD9514,tataraw-DL52GD9514-gps-2026-07-08-to-2026-08-07.csv,2026-07-25 09:05:01,2026-07-25 13:10:01,4.083333333333333,175,6462.0,86.0,55.0,31.0,79.0,24.942857142857143,60.0,100.0,0.5921220833059894,3.96,217.31428571428572,47.0,254.83870967741936
DL52GD9514,tataraw-DL52GD9514-gps-2026-07-08-to-2026-08-07.csv,2026-07-26 11:35:00,2026-07-26 16:15:01,4.666944444444445,240,6724.0,97.0,68.0,29.0,62.0,15.375,42.0,100.0,0.2972338598297867,1.2509996003196804,211.5625,44.0,213.79310344827584
DL52GD9514,tataraw-DL52GD9514-gps-2026-07-08-to-2026-08-07.csv,2026-07-27 01:30:01,2026-07-27 09:15:00,7.749722222222222,425,6787.0,97.0,25.0,72.0,143.0,18.894117647058824,74.0,100.0,0.4050098558749892,4.0,205.4,73.0,198.61111111111111
DL52GD9514,tataraw-DL52GD9514-gps-2026-07-08-to-2026-08-07.csv,2026-08-01 08:05:00,2026-08-01 09:25:00,1.3333333333333333,20,8383.0,49.0,44.0,5.0,10.0,35.75,63.0,100.0,0.7752200022521254,1.4208800090085016,195.25,14.0,200.0
